央视卫视,#genre#
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8668&tk=7877e7cc41c7
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1610&tk=7877e7cc41c7
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0235&tk=7877e7cc41c7
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0938&tk=7877e7cc41c7
CCTV-5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4222&tk=7877e7cc41c7
CCTV-5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3327&tk=7877e7cc41c7
CCTV-6,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2271&tk=7877e7cc41c7
CCTV-7,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7018&tk=7877e7cc41c7
CCTV-8,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5722&tk=7877e7cc41c7
CCTV-9,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7226&tk=7877e7cc41c7
CCTV-10,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7047&tk=7877e7cc41c7
CCTV-11,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8360&tk=7877e7cc41c7
CCTV-12,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5197&tk=7877e7cc41c7
CCTV-13,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2365&tk=7877e7cc41c7
CCTV-14,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6570&tk=7877e7cc41c7
CCTV-15,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4500&tk=7877e7cc41c7
CCTV-16,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6941&tk=7877e7cc41c7
CCTV-17,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5548&tk=7877e7cc41c7
东方卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0373&tk=7877e7cc41c7
重庆卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1615&tk=7877e7cc41c7
吉林卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8014&tk=7877e7cc41c7
辽宁卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2625&tk=7877e7cc41c7
内蒙古卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9135&tk=7877e7cc41c7
宁夏卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9431&tk=7877e7cc41c7
甘肃卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8361&tk=7877e7cc41c7
青海卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9219&tk=7877e7cc41c7
陕西卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4963&tk=7877e7cc41c7
山东卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3958&tk=7877e7cc41c7
河南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4280&tk=7877e7cc41c7
湖北卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3081&tk=7877e7cc41c7
湖南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2266&tk=7877e7cc41c7
江西卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3380&tk=7877e7cc41c7
江苏卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3434&tk=7877e7cc41c7
东南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0816&tk=7877e7cc41c7
广东卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2422&tk=7877e7cc41c7
