🕘️更新时间,#genre#
2024-12-28 15:52:58,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000001/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000001$订阅源-IPv6

央视频道,#genre#
CCTV-1 综合,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000001/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000001$订阅源-IPv6
CCTV-1 综合,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000001/index.m3u8?$订阅源-IPv6
CCTV-1 综合,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3$订阅源-IPv6
CCTV-1 综合,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3$订阅源-IPv6
CCTV-1 综合,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源-IPv6
CCTV-1 综合,http://112.46.85.60:8009/hls/501/index.m3u8$订阅源
CCTV-1 综合,http://113.140.86.162:8009/hls/501/index.m3u8$订阅源
CCTV-1 综合,http://221.199.193.3:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1 综合,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv1$订阅源
CCTV-1 综合,http://36.40.236.234:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2 财经,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000502/index.m3u8?$订阅源-IPv6
CCTV-2 财经,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000502/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000502$订阅源-IPv6
CCTV-2 财经,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031101/index.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=3$订阅源-IPv6
CCTV-2 财经,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3$订阅源-IPv6
CCTV-2 财经,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源-IPv6
CCTV-2 财经,http://112.46.85.60:8009/hls/502/index.m3u8$订阅源
CCTV-2 财经,http://113.140.86.162:8009/hls/502/index.m3u8$订阅源
CCTV-2 财经,http://221.199.193.3:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2 财经,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv2$订阅源
CCTV-2 财经,http://36.40.236.234:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3 综艺,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000003/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000003$订阅源-IPv6
CCTV-3 综艺,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000003/index.m3u8?$订阅源-IPv6
CCTV-3 综艺,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000008883/index.m3u8?channel-id=bestzb&Contentid=5000000004000008883&livemode=1&stbId=3$订阅源-IPv6
CCTV-3 综艺,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$订阅源-IPv6
CCTV-3 综艺,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008883/index.m3u8?channel-id=bestzb&Contentid=5000000004000008883&livemode=1&stbId=3$订阅源-IPv6
CCTV-3 综艺,http://112.46.85.60:8009/hls/3/index.m3u8$订阅源
CCTV-3 综艺,http://113.140.86.162:8009/hls/3/index.m3u8$订阅源
CCTV-3 综艺,http://221.199.193.3:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3 综艺,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv3$订阅源
CCTV-3 综艺,http://36.40.236.234:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4 中文国际,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000503/index.m3u8?$订阅源-IPv6
CCTV-4 中文国际,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000503/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000503$订阅源-IPv6
CCTV-4 中文国际,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031102/index.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3$订阅源-IPv6
CCTV-4 中文国际,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3$订阅源-IPv6
CCTV-4 中文国际,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$订阅源-IPv6
CCTV-4 中文国际,https://www.freetv.top/migu/608807419.m3u8?migutoken=77b074e1b49cf260629d9642f9505e978eaabf572bfa1abe5f2e3ef60f5e4929c900274758111d707a7cca2a7368eb2b1af1415da7e0b2dbfcbdbeb4cb8566210f2994ffde97ad1e11a037a174$订阅源
CCTV-4 中文国际,https://www.freetv.top/migu/608807416.m3u8?migutoken=94d24df192f212e52d7c222dfab7df5ce4aad53db2766a6c4275a4c1e796cf13fb231906f792af9bc717ce1ccafa62165ebdc66b02fb0882cd5beac443921d36883a491d2b549a5509d63534e1$订阅源
CCTV-4 中文国际,http://112.46.85.60:8009/hls/4/index.m3u8$订阅源
CCTV-4 中文国际,http://113.140.86.162:8009/hls/4/index.m3u8$订阅源
CCTV-4 中文国际,http://221.199.193.3:9901/tsfile/live/1000_1.m3u8$订阅源
CCTV-5 体育,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000005/index.m3u8?$订阅源-IPv6
CCTV-5 体育,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000005/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000005$订阅源-IPv6
CCTV-5 体育,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000008885/index.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=3$订阅源-IPv6
CCTV-5 体育,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008885/index.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=3$订阅源-IPv6
CCTV-5 体育,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$订阅源-IPv6
CCTV-5 体育,http://112.46.85.60:8009/hls/503/index.m3u8$订阅源
CCTV-5 体育,http://113.140.86.162:8009/hls/503/index.m3u8$订阅源
CCTV-5 体育,http://221.199.193.3:9901/tsfile/live/1001_1.m3u8$订阅源
